restaurant_id,name,direction,phone,website,type_food,special_diets,price_range,trip_rating,no_reviews,service_rating,food_rating,value_rating
14,Bella Verona,"107 Essex St, Salem, MA 01970-5217",+1 978-825-9911,http://www.bellaverona.com/,Italian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4.5,484,4.5,4.5,4
15,La Cantina del 15,"Corso Castelvecchio 15, 37121, Verona Italy",+39 045 221 5914,http://lacantinadel15.com/,"Italian, Northern-Italian","Vegetarian Friendly, Gluten Free Options",€15 - €33,4.5,1264,4.5,4.5,4.5
16,Trattoria Pizzeria Impero Verona,"Piazza Dei Signori 8, 37121, Verona Italy",+39 045 803 0160,http://www.pizzeriaimpero.it/,"Italian, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",€18 - €25,4,1099,4,4,3.5
17,Osteria Macafame,"Via delle Fogge 6, 37121, Verona Italy",+39 347 873 0150,http://www.osteriamacafame.it/,"Italian, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",€15 - €30,4.5,1216,4.5,4.5,4
18,Ristorante Tre Marchetti,"Vicolo Tre Marchetti 19/B, 37121, Verona Italy",+39 045 803 0463,http://www.tremarchetti.it/,"Italian, Mediterranean","Vegetarian Friendly, Gluten Free Options",€52 - €79,4,1009,4,4,3.5
19,Hosteria Il Punto Rosa,"Via Fratta 12/A Via Fratta 12/a, 37121, Verona Italy",+39 340 624 2139,http://www.hosteriailpuntorosa.com/,"Italian, Mediterranean, Seafood",Vegetarian Friendly,€30 - €100,4.5,1574,4.5,4.5,4
20,Verona Restaurant,"19 Silver Street, Bury BL9 0EU England",+44 161 761 7993,http://verona-restaurant.co.uk/,"Italian, Pizza, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4.5,442,4.5,4.5,4.5
21,Gelateria La Romana Verona,"Piazza Santo Spirito 9, 37122, Verona Italy",+39 045 222 1078,http://www.gelateriaromana.com/28-gelateria-verona.php,N.A,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€2 - €4,4.5,1153,4.5,4.5,4
22,Restaurant Il Desco,"Via Dietro San Sebastiano 5/7, 37121, Verona Italy",+39 045 595358,http://www.ristoranteildesco.it/,N.A,N.A,N.A,4.5,584,4.5,4.5,4
23,Café Carducci,"Via Giosue Carducci 12, 37129, Verona Italy",+39 045 803 0604,http://www.cafecarducci.it/,"Italian, Mediterranean, European, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options",€13 - €84,4.5,329,4.5,4.5,4
24,Trattoria dal Taio,"Via Fratelli Alessandri 11, 37124, Verona Italy",+39 045 941717,http://www.trattoriadaltaio.com/,"Italian, Mediterranean, Barbecue",Gluten Free Options,N.A,4.5,1156,4.5,4.5,4
25,Verona Italian Restorante,"3805 Halsey St, Alexandria, LA 71301-3770",+1 318-445-1500,http://www.facebook.com/pages/Verona-Italian-Restorante/185000601545057,Italian,"Vegetarian Friendly, Vegan Options",€13 - €17,4.5,243,4.5,4.5,4.5
26,Enocibus,"Vicolo Pomodoro 3 Centro Storico Vicino lArena, 37121, Verona Italy",+39 335 657 6748,http://www.enocibus.com/,"Mediterranean, Wine Bar",N.A,€20 - €25,4.5,765,4.5,4.5,4.5
27,Re Teodorico,"Piazzale Castel San Pietro 1, 37129, Verona Italy",+39 045 834 9903,http://www.reteodorico.com/,"Italian, Pizza, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options",€10 - €25,4,802,4,4,3.5
28,Mamma Mia Bistrot,"Piazza Bra 20, 37121, Verona Italy",+39 346 963 2739,http://www.mammamiabistrot.com/,"Italian, European",N.A,€6 - €29,3.5,834,4,3.5,3.5
29,Pizzeria Ristorante Liston da Barca,"Via Dietro Listone 19, 37121, Verona Italy",+39 045 803 4003,http://www.listondabarca.it/,N.A,N.A,N.A,4.5,425,4.5,4,4
30,La Canonica,"Vicolo San Matteo 3, 37121, Verona Italy",+39 045 473 2625,http://www.ristorantelacanonicaverona.it/,"Italian, Seafood, Mediterranean, Healthy","Vegetarian Friendly, Gluten Free Options",€35 - €100,4.5,766,4.5,4.5,4
31,Archivio,"Via Rosa 3, 37121, Verona Italy",+39 345 816 9663,http://www.facebook.com/ArchiviodiViaRosa,Fusion,N.A,N.A,4.5,323,4.5,4.5,4
32,Maharajah Ristorante Indiano,"Via G.Marconi 28/a, 37122, Verona Italy",+39 045 801 1038,http://www.indian-restaurant-maharajah.com/,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4,710,4,4.5,4
33,Osteria Verona Antica,"Via Sottoriva 10/A, 37121, Verona Italy",+39 045 800 4124,http://www.osteriaveronaantica.it/,"Italian, Mediterranean, Grill",Vegetarian Friendly,N.A,4,844,4,4,3.5
34,Santa Felicita,"Via Santa Felicita 8, 37121, Verona Italy",+39 045 596301,http://www.santafelicitaristorante.it/,N.A,N.A,N.A,4,1558,4.5,4,4
35,Pizzeria Da Salvatore,"Piazza San Tomaso 6, 37129, Verona Italy",+39 045 803 0366,https://www.pizzeriadasalvatorevr.com/,"Italian, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options",N.A,4,945,3.5,4.5,4
36,Gelateria Ponte Pietra,"Via Ponte Pietra 13, 37121, Verona Italy",+39 045 222 7992,http://gelateria-ponte-pietra.business.site/,"Italian, International, Contemporary","Vegetarian Friendly, Gluten Free Options",N.A,4.5,498,4.5,4.5,4.5
37,Locandina Cappello,"Via Cappello 16, 37121, Verona Italy",+39 045 803 5218,http://www.locandinacappello.it/,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4,1337,4,4,3.5
38,Trattoria I Masenini,"Via Roma 34, 37121, Verona Italy",+39 045 806 5169,http://www.trattoriaimasenini.it/,"Italian, Mediterranean, Northern-Italian, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",€40 - €60,4.5,462,4,4.5,3.5
39,Verona Italian restaurant,"29 Roundstone Street, Trowbridge BA14 8DE England",+44 1225 753272,http://www.veronarestaurant.co.uk/,N.A,N.A,N.A,5,278,5,5,4.5
40,Osteria Ristorante Ponte Pietra,"Via Ponte Pietra 34, 37121, Verona Italy",+39 045 804 1929,http://www.ristorantepontepietra.com/,"Italian, Seafood, Mediterranean","Vegetarian Friendly, Gluten Free Options",N.A,4,1015,4.5,4.5,4
41,Ristorante Al Cristo,"Piazzetta Pescheria 6a, 37121, Verona Italy",+39 045 594287,http://www.veronaristoranti.it/,"Italian, Japanese, Seafood, Mediterranean, Sushi, European, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",€30 - €60,4,503,4,4,3.5
42,La Verona,"114 E State St, Kennett Square, PA 19348-3110",+1 610-444-2244,http://www.laveronapa.com/,N.A,N.A,N.A,4,305,4.5,4.5,4
43,Emanuel Cafe,"Piazza Bra 6/A, 37121, Verona Italy",+39 045 590154,http://www.emanuelcafe.it/,"Mediterranean, Bar, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options",€10 - €30,4,564,4,4,3.5
44,Du de Cope,"Galleria Pellicciai 10, 37121, Verona Italy",+39 045 595562,http://www.pizzeriadudecope.it/,"Italian, Pizza, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4,1303,4,4.5,3.5
45,Pizzeria Risotteria da Mario,"Via Santa Maria in Chiavica 5, 37121, Verona Italy",+39 045 876 9827,http://www.facebook.com/pizzeria.risotteria.da.mario,"Pizza, Italian","Vegetarian Friendly, Vegan Options",€6 - €25,4.5,1008,4.5,4.5,4.5
46,Verona Pizza & Italian Restaurant,"5257 33rd St E, Bradenton, FL 34203-4330",+1 941-753-7008,http://www.veronapizzaitalianrestaurant.com/,"Italian, Pizza",Vegetarian Friendly,N.A,4,79,4,4.5,4
47,Pescheria i Masenini Trattoria,"Piazzetta Pescheria 9a, 37121, Verona Italy",+39 045 929 8015,http://www.pescheriaimasenini.it/,Italian,Gluten Free Options,€46 - €64,4.5,448,4.5,4.5,4
48,Ristorante Caffe Vittorio Emanuele,"Piazza Bra 16, 37121, Verona Italy",+39 045 923 5850,http://www.ristorantevittorioemanuele.com/,N.A,N.A,N.A,4,894,4.5,4,4
49,Trattoria Fluviale Vecio Mulin,"Via Sottoriva 42/A, 37121, Verona Italy",+39 045 806 5146,http://www.veciomulin.com/Vecio_Mulin/Home.html,"Italian, Seafood, Mediterranean","Vegan Options, Vegetarian Friendly, Gluten Free Options",€25 - €50,4,1353,4,4,4
50,Sottoriva 23 Ostregheteria,"Via Sottoriva 23 Aperto dalla domenica al giovedi dalle 11:00 alle 01:00 e venerdì e sabato dalle 11:00 alle 02:00., 37121, Verona Italy",+39 045 800 9904,http://www.sottoriva23.com/,"Italian, Mediterranean, European, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4,820,4,3.5,3.5
51,Osteria Trattoria Al Duomo,"Via Duomo 7, 37121, Verona Italy",+39 045 800 4505,N.A,"Italian, Mediterranean","Vegetarian Friendly, Gluten Free Options",N.A,4,847,4,4,4
52,Hostaria La Vecchia Fontanina,"Piazzetta Chiavica 5, 37121, Verona Italy",+39 045 591159,http://www.ristorantevecchiafontanina.com/,"Italian, Mediterranean, European","Vegetarian Friendly, Gluten Free Options",N.A,4,1183,4,4,4
53,Corte Farina,"Corte Farina 4, 37121, Verona Italy",+39 045 800 0440,http://www.cortefarina.it/,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",€18 - €24,4,672,3.5,4,3.5
54,El Cuciar,"Piazza Duomo 6/A, 37121, Verona Italy",+39 389 188 4167,http://www.elcuciar.it/,"Mediterranean, Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",€10 - €20,4.5,213,4.5,4.5,4.5
55,Ostinati il ristorante e la pizza,"Corso Porta Nuova, 35, 37122, Verona Italy",+39 389 293 1887,http://www.ostinativerona.it/,"Italian, Bar, Pizza, Cafe, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",€10 - €300,4,435,4,4,4
56,Pizzeria Bar Delle Nazioni,"Circonvallazione Alfredo Oriani 2, 37122, Verona Italy",+39 045 803 3503,http://www.facebook.com/pages/Pizzeria-Bar-Delle-Nazioni/106452476086231,"Italian, Pizza, Mediterranean, European, International","Vegetarian Friendly, Vegan Options",€10 - €21,4,354,4,4,4.5
57,Verona,Antwerp Belgium,+32 3 226 86 22,http://www.restaurant-verona.be/,"Italian, Pizza, European",Vegetarian Friendly,N.A,3,390,3,3,3.5
58,Torcolo,"Via C. Cattaneo 11, Verona Italy",+39 045 803 3730,http://www.ristorantetorcolo.it/mobile/ristorante.html,"Italian, Mediterranean, Northern-Italian","Vegetarian Friendly, Gluten Free Options",€30 - €40,4,1290,4,4,4
59,Mazzini27,"Via Giuseppe Mazzini 27, 37121, Verona Italy",+39 392 627 0672,http://www.facebook.com/Mazzini27-663454963801533/,"Italian, Mediterranean, European, International, Dining bars","Vegetarian Friendly, Vegan Options, Gluten Free Options",€10 - €30,4,867,4,4,4
60,Gelateria Savoia,"Via Roma 1, 37121, Verona Italy",+39 045 800 2211,http://www.gelateriasavoia.it/,Italian,"Vegetarian Friendly, Gluten Free Options",N.A,4,802,4,4,4
61,Pretto Gelato Arte Italiana,"Piazza delle Erbe 40 Palazzo Maffei, 37121, Verona Italy",+39 045 801 5963,http://www.gelatopretto.it/,Italian,Vegetarian Friendly,N.A,4,478,4,4,3.5
62,Trattoria Reale,"Via Fama, 4 Corte Sgarzerie, 12, 37121, Verona Italy",+39 045 205 0418,http://trattoriarealeverona.it/,"Italian, Mediterranean",Vegetarian Friendly,€25 - €50,4.5,262,4,4.5,4
63,Due Torri Lounge & Restaurant,"Piazza SantAnastasia 4, 37121, Verona Italy",+39 045 595044,http://hotelduetorri.duetorrihotels.com/hotel-5-stelle-lusso-verona/due-torri-lounge-restaurant,"Mediterranean, European, Italian",Vegetarian Friendly,N.A,4,112,4.5,4.5,4
64,Trattoria Al Bersagliere,"Via Dietro Pallone 1, 37121, Verona Italy",+39 045 800 4824,http://www.trattoriaalbersagliere.it/,Italian,"Vegetarian Friendly, Gluten Free Options",€25 - €45,4,725,4,4,4
65,Risotteria Melotti NYC,"309 E 5th St Btw 1st and 2nd Avenue , East Village, New York City, NY 10003-8825",+1 646-755-8939,http://www.risotteriamelottinyc.com/,N.A,N.A,N.A,4.5,181,4.5,4.5,4.5
66,Teta de Giulieta,"Piazza delle Erbe 8A, 37121, Verona Italy",+39 349 496 0933,http://www.teta-giulieta.com/,"European, Italian, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",€7 - €27,3.5,808,4,4,3.5
67,Dolce Verona,"528 Mountainview Sq Unit 1, Kitimat, Kitimat-Stikine District, British Columbia V8C 2N2 Canada",+1 250-632-5899,http://www.facebook.com/pages/category/Restaurant/Dolce-Verona-348268299062648/,N.A,N.A,N.A,4.5,15,4,4,4
68,Ristorante Groto de Corgnan,"Via Corgnan 41, 37015, SantAmbrogio di Valpolicella Italy",+39 045 773 1372,http://www.grotodecorgnan.it/,"Italian, European","Vegetarian Friendly, Gluten Free Options",€45 - €65,4.5,294,5,5,4.5
69,Ristorante Ippopotamo,"Piazza Bra, 22, 37121, Verona Italy",+39 348 702 1197,http://ristoranteippopotamo.it/,"Italian, Bar, Pizza, International",Vegetarian Friendly,€7 - €15,3,1170,3.5,3.5,3
70,Ristorante Osteria Sgarzarie,"Corte Sgarzarie 14 /A, 37121, Verona Italy",+39 045 800 0312,http://www.osteriasgarzarie.com/italiano,N.A,Vegetarian Friendly,N.A,4,999,4,4,3.5
71,Verona Italian Cafe,"5353 N Fm 17, Alba, TX 75410-2645",+1 903-473-1701,http://www.veronaitaliancafe.com/,Italian,N.A,N.A,4.5,62,4.5,4.5,4.5
72,Pizzeria da Vincenzo,"Piazza Nogara 3, 37121, Verona Italy",+39 045 961 5105,http://www.pizzeriadavincenzo.com/,"Italian, Pizza, Fast Food, Mediterranean, Street Food","Vegetarian Friendly, Vegan Options",€5 - €10,5,314,5,5,4.5
73,Darì Ristorante & Enoteca,"Vicolo Cieco S. Pietro Incarnario, 5 Centro Storico, dietro lArena di Verona, 37121, Verona Italy",+39 045 595022,http://www.ristorantedari.com/,N.A,N.A,N.A,4.5,2809,4.5,4.5,4.5
74,Venchi,"Via Giuseppe Mazzini 44, 37121, Verona Italy",+39 045 801 5786,http://www.venchi.com/it/negozi/verona-via-mazzini-arena,N.A,N.A,N.A,3,465,3.5,3.5,3
75,Bigoi - Verona,"Largo Guido Gonnella 1 Porta Borsari, 37121, Verona Italy",+39 045 221 6207,http://www.facebook.com/BigoiVerona,"Italian, Mediterranean, Street Food, Northern-Italian, Central-Italian",Vegetarian Friendly,€5 - €6,4.5,657,4.5,4.5,4.5
76,Elk Bakery,"Via Quattro Novembre 1/a, 37126, Verona Italy",+39 045 834 8880,http://www.elkbakery.com/,"Italian, American, International, British, Cafe, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4,942,4,4,3.5
77,Trattoria Caprese,"Pellicciai 18 Galleria, 37100, Verona Italy",+39 045 801 3818,https://www.facebook.com/Trattoria-Caprese-Verona-171902029808314/,"Italian, Pizza, Seafood, Mediterranean, European, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,3.5,870,3.5,3.5,3.5
78,Panini Verona Mordimi Panuozzeria,"Vicolo Morette 2 Adiacente Via Roma, 37121, Verona Italy",+39 045 493 7003,http://www.mordimitalia.com/,"Italian, Fast Food, Mediterranean, Healthy","Vegetarian Friendly, Vegan Options",N.A,4.5,1019,4,4.5,4.5
79,Trattoria Arco dei Gavi,"Corso Cavour 43, 37121, Verona Italy",+39 339 368 7354,https://www.trattoriaarcodeigavi.it/,"Italian, Mediterranean","Vegetarian Friendly, Gluten Free Options",€15 - €30,4.5,791,4,4.5,4
80,Trattoria Dal Gal,"Via Don Gregorio Segala 39/B, 37139, Verona Italy",+39 045 890 0966,https://www.trattoriadalgalverona.com/,"Italian, Mediterranean, European","Vegetarian Friendly, Gluten Free Options",N.A,4.5,871,4.5,4.5,4
81,Maffei Restaurant,"Piazza delle Erbe 38 Palazzo Maffei, 37121, Verona Italy",+39 045 801 0015,http://www.ristorantemaffei.it/,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",€30 - €55,4.5,2329,4.5,4.5,4
82,Caffe Brasserie Filippini,"Piazza delle Erbe 26 Fontana di Madonna Verona, 37121, Verona Italy",+39 045 800 4549,http://www.facebook.com/caffefilippini.it/,"Italian, Cafe",Vegetarian Friendly,N.A,3.5,449,3.5,4,3.5
83,Verona Restaurant,"1171 Sussex Tpke, Randolph, NJ 07869-4225",+1 973-895-8888,http://www.veronarestaurant.com/,Italian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4.5,119,4.5,4.5,4.5
84,Osteria da Morandin,"Via Venti Settembre 144, 37129, Verona Italy",+39 045 958 0476,http://it-it.facebook.com/osteria.damorandin.9,"Italian, Mediterranean",Vegetarian Friendly,€5 - €18,4.5,918,4,4.5,4.5
85,Caffe Dante Bistrot,"Piazza Dei Signori 2, 37121, Verona Italy",+39 045 800 0083,http://www.caffedante.it/,N.A,N.A,N.A,4.5,1223,4.5,4.5,4
86,Tre Risotti,"Via Luigia Poloni 15, 37122, Verona Italy",+39 045 594408,http://www.facebook.com/Tre-Risotti-356887151093742/,Italian,Vegetarian Friendly,N.A,4,365,4,4,4.5
87,Osteria Verona,"Piazza delle Erbe 34, 37121, Verona Italy",+39 045 595483,https://www.facebook.com/osteriaverona/,Italian,N.A,€13 - €38,2.5,303,2.5,2.5,2.5
88,Osteria El Bacarin,"Via Dietro Listone 5, 37121, Verona Italy",+39 045 459 1886,http://www.elbacarin.com/,"Italian, Bar, Mediterranean, European, Wine Bar, Northern-Italian",Vegetarian Friendly,N.A,4,237,4,4,4
89,Osteria Mondodoro,"Via Mondo dOro 4, 37121, Verona Italy",+39 045 894 9290,http://www.osteriamondodoroverona.it/,"Italian, Mediterranean, Healthy","Vegan Options, Vegetarian Friendly, Gluten Free Options",€20 - €40,4.5,394,4.5,4.5,4.5
90,Ristorante Sushi Ikai,"Corso Porta Nuova 22/A, 37122, Verona Italy",+39 045 803 5086,http://ikai.it/ikai/,N.A,N.A,N.A,4,908,4,4.5,3.5
91,Osteria da Ugo,"Vicolo Dietro SantAndrea 1/B 200 Meters Far From Juliet House, 37121, Verona Italy",+39 045 594400,http://www.osteriadaugo.com/,"Italian, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4,1928,4.5,4.5,4
92,Gelateria Amorino,"Corso SantAnastasia 1 Affaccia su piazza Delle erbe, 37121, Verona Italy",+39 045 802 0294,http://www.amorino.com/fr/boutique/verona.66.html,N.A,"Vegetarian Friendly, Gluten Free Options",N.A,4,607,4,4.5,3.5
93,Trattoria Pane & Vino,"Via Garibaldi 16/a, 37121, Verona Italy",+39 045 800 8261,http://www.trattoriapanevino.it/index.php,N.A,"Vegetarian Friendly, Gluten Free Options",€35 - €80,4.5,850,4.5,4.5,4
94,Zia Maria Little Italy,"138 Mulberry St, New York City, NY 10013-5570",+1 646-590-7873,http://www.ziamarialittleitaly.com/,"Italian, Pizza","Vegetarian Friendly, Vegan Options",€13 - €25,4,73,4,4,4
95,Little Italy Pizza & Food,"Vicolo Crocioni 6, 37121, Verona Italy",+39 045 472 0542,http://www.pizzerialittleitaly.com/,N.A,N.A,N.A,4.5,523,4.5,4.5,4
96,Peperino Pizza & Cucina Verace,"Piazzetta Municipio 10, 37121, Verona Italy",+39 045 802 9016,http://www.peperinopizza.it/it/verona,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4,1741,3.5,4,4
97,La Tradision,"Via Guglielmo Oberdan 6, 37121, Verona Italy",+39 045 594226,http://www.facebook.com/latradision,"Italian, Bar, Gastropub, European, Wine Bar","Vegetarian Friendly, Gluten Free Options",€5 - €20,4.5,1473,4,4.5,4.5
98,Ristorante Pizzeria Olivo 1939,"Piazza Bra 18, 37121, Verona Italy",+39 045 803 0598,http://www.olivo1939.it/,"Italian, Pizza, Seafood, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",€20 - €30,4,1373,4,4,3.5
99,Casa Mazzanti Caffè,"Piazza delle Erbe 32, 37121, Verona Italy",+39 045 800 3217,http://www.casamazzanticaffe.it/,"Italian, Cafe, Mediterranean, European",N.A,€10 - €40,3.5,558,4,4,3.5
100,Ristorante Vecio Macello,"Via Macello 8, 37121, Verona Italy",+39 045 803 0348,http://www.veciomacello.com/,"Italian, Seafood","Vegetarian Friendly, Gluten Free Options",N.A,4.5,1556,4.5,4.5,4
101,La Fontanina,"Portichetti Fontanelle Santo Stefano 3, 37129, Verona Italy",+39 045 913305,http://www.ristorantelafontanina.com/,"Italian, Seafood, European",Vegetarian Friendly,€21 - €84,4,448,4,4,3.5
102,Osteria Al Duca,"Via Arche Scaligere 2, 37121, Verona Italy",+39 045 594474,http://www.osteriaalduca.it/osteriaalduca/?lingua=en,Italian,N.A,N.A,4,2123,4,4,4
103,Pasticceria Flego,"Via Stella 13, 37121, Verona Italy",+39 045 803 2471,http://www.instagram.com/pasticceria.flego/,"Italian, Cafe","Vegetarian Friendly, Vegan Options",N.A,4,710,4,4.5,3.5
104,Ristorante Castletime,"Via Roma 13/A Castelvecchio, 37121, Verona Italy",+39 045 800 2053,https://www.facebook.com/Ristorante-Cinese-e-Sushi-Castletime-2043014122635583/,"Chinese, Bar, Seafood, Asian",Vegetarian Friendly,N.A,4.5,87,3.5,4,3.5
105,Osteria Caffè Monte Baldo,"Via Rosa 12, 37121, Verona Italy",+39 045 803 0579,http://www.osteriamontebaldo.com/,Italian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€8 - €30,4.5,1364,4,4.5,4
106,Caffe Borsari,"Corso Porta Borsari 15d, 37121, Verona Italy",+39 045 803 1313,http://it-it.facebook.com/Caff%C3%A8-Borsari-429507137121555,Cafe,N.A,N.A,4.5,663,4.5,4.5,4
107,Ristorante Pizzeria San Matteo Church,"Vicolo San Matteo 1, 37121, Verona Italy",+39 045 800 4538,http://www.smatteo.it/,"Italian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",€10 - €50,4,871,4,4,4
108,Caffe E Parole,"Stradone Arcidiacono Pacifico 14, 37121, Verona Italy",+39 340 341 0992,http://www.facebook.com/caffeeparole/,"Italian, Cafe","Vegan Options, Vegetarian Friendly",N.A,4.5,359,4.5,4.5,4.5
109,Enoteca Segreta,"Vicolo Samaritana 10, 37121, Verona Italy",+39 045 801 5824,http://enotecasegreta.it/,"Italian, Mediterranean, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4.5,1538,4.5,4.5,4
110,La Piazzetta Ristorante,"Corte San Giovanni in Foro 4 Piazzetta, 37121, Verona Italy",+39 045 591099,http://www.lapiazzettaverona.com/,"Italian, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",€10 - €40,4.5,1295,4.5,4.5,4
111,Ristorante il Cenacolo,"Via Teatro Filarmonico 10, 37121, Verona Italy",+39 045 592288,http://www.ristoranteilcenacolo.it/,"Grill, Italian, Mediterranean, Barbecue, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",€35 - €60,4.5,1299,4.5,4.5,4
112,Ristorante Pizzeria La Costa in Bra,"Piazza Bra 2, 37121, Verona Italy",+39 045 597468,http://www.lacostainbra.it/,"Italian, Pizza, Seafood, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",€20 - €30,3.5,1164,4,4,3.5
113,Osteria del Bugiardo,"Corso Porta Borsari 17 Close to Piazza Erbe, 37121, Verona Italy",+39 045 591869,http://www.buglioni.it/,"Italian, Wine Bar","Vegetarian Friendly, Gluten Free Options",N.A,4.5,1943,4,4,4
114,Enoteca della Valpolicella,"Via Osan 45, 37022, Fumane Italy",+39 045 683 9146,http://www.enotecadellavalpolicella.it/,Italian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€35 - €70,4.5,837,4.5,4.5,4
115,La Taverna di Via Stella,"Via Stella 5C, 37121, Verona Italy",+39 045 800 8008,http://www.tavernadiviastella.com/,"Italian, Mediterranean, European","Vegetarian Friendly, Gluten Free Options",€27 - €39,4.5,2597,4.5,4.5,4
